"cityName","hospitalName","hospitalAddress"
"Agartala","Society for Tripura Medical College & Dr. B.R.Ambedkar Memorial Teaching Hospital","Society for Tripura Medical College & Dr. B.R.Ambedkar Memorial Teaching Hospital, HAPANIA, AGARTALA-799014 WEST TRIPURA"
"Ahmedabad","Diva Eye Institute","Hira Baug,Ambawadi, Ahmedabad"
"Ahmedabad","RAGHUDEEP EYE CENTRE LLP","Opp Gurukul tower,Gurukul Road,behind oxfornd tower ,Ahmedabad52. Mob.Digan Buch 9016171960,8980804092 Email.contact@raghudeepeyehospital.com"
"Ahmedabad","Apollo CVHF Heart Institute (Apollo CVHF Limited)","NEXT TO IOC PETROL PUMP, OPP. GNFC TOWER, NEAR PAKWAN CROSS ROAD, S.G. HIGHWAY, AHMEDABAD-380059Mob.7202011197"
"Ahmedabad","32 PEARLS MULTISPECIALITY DENTAL CLINIC","312, 3rd floor, shanti arcade, above sbi opp.jaymangal brts bus stop,132 ring road, naranpura, ahmedabad 380013"
"Ahmedabad","HCG Cancer Center, Ahmedabad","Sola Science City Road, Near Sola Bridge, SG Highway, Bodakdev, Ahmedabad-380015"
"Ahmedabad","Bodyline Hospital","Opp. Anupama Hall New Vikas Gruh Road,Paldi, Ahmedabad"
"Ahmedabad","Samvedana Happiness Hospital ,unit of Samvedana minds llp","3rd floor,satya one helmet circle,ahmedabad-52tel-079-29709046  8460783522 "
"Ahmedabad","UN Mehta Institute of Cardiology & Research Centre","Civil Hospital, Asarwa, Ahmedabad   380016"
"Ahmedabad","Apollo hospital","Plot no 1A Bhat GIDC Estate dist- Gandhinagar-382428 ph. 9723708409,.07966701800/66701876 email. jigneshy@apolloahd.com,billing@apolloahd.com"
"Ahmedabad","Krishna Shalby Hospital","319, Green City, Ghuma, Via Bopal, Ahmedabad 380058, GujaratPh. 02717 230877corpdev3.krishna@shalby.orgcorpbilling1.krishna@shalby.org"
"Ahmedabad","Center For sight Ahmedabad ","ABC -1(Amarnath Business centre)1st& 2nd floor,Navrangpura,Ahmedabad "
"Ahmedabad","OJAS EYE CARE","B 101,102, SWAMINARAYAN AVENUE, AEC CROSS ROAD, NEAR TORRENT POWER OFFICE, NARANPURA, AHMEDABAD-380013"
"Ahmedabad","Occura eye care & Research Centre(Healthcare unit of Astron packing Ltd)","Rajpath Club road,Opp. Kensvile Golf Academy,Bodakdev Ahmedabad 385009 .Contact.079- 49131202/04"
"Ahmedabad","Amdavad Eye Laser Hospital Pvt. Ltd","6/B, Devang Park, Panjara Pole Char Rasta, Polytechnic, Ahmedabad 380015"
"Ahmedabad","Asian Bariatrics Ahmedabad Bariatrics & Cosmetics Pvt.Ltd","S.No.235/2,B/s.Tata Moytors Showroom, Opp.Rajpath Club,SG Highway,Bodakdev,Ahmedabad 380015.Mr. Rahul Jain-Mob: 7208411965"
"Ahmedabad","Ved Specialty Hospital","P Mondeal Business park,    Nr Gurudwara,S G Highway Thaltej,Ahmedabad"
"Ahmedabad","Apollo CBCC Cancer Care","Akshare Complex, Parimal garden, Ahmedabad"
"Ahmedabad","AHMEDABAD INSTITUTE OF MEDICAL SERVICES","P.N. House, Opp. Jethabhai park, Narayan Nagar Road, Paldi, Ahmedabad   380007 Tel.No.7878797819/20 "
"Ahmedabad","INSTITUTE OF KIDNEY DISEASES AND RESEARCH CENTRE","MEDICITY, CIVIL HOSPITAL CAMPUS, ASARWA AHMEDABAD -380016"
"Ahmedabad","Shah Hospital","21, Shantinagar, Ashram Road, Vadaj, Ahmedabad, 380013, Gujarat"
"Ahmedabad","Parekh Hospital","NR SHYMAL CROSS ROAD NR JIVRAJ MEHTA BRIDGE, SATELITE, AHMEDABAD."
"Ahmedabad","Netralaya Superspeciality Eye Hospital (Unit of Swarnim Eye Care Pvt. Ltd.)","1ST FLOOR, KAYDEE HOUSE, ABOVE ANDHRA BANK, OPP. GUJARAT GAS, PARIMAL GARDEN CROSS ROAD, ELLIS BRIDGE, AHMEDABAD-380006PH. NO. 079-26440440, 26440540"
"Ahmedabad","Sanjeevani Eye Hospital & Phaco centre","1st floor, rudra complex,opp.maniben hospital,nr.shardaben hospital,saraspur,ahmedabad 079 403024764 "
"Ahmedabad","Contacare Eye Hospital","Parkar House, Law Garden Road, Near Panchwati Road, Ahmedabad 380007"
"Ahmedabad","Parth Eye Hospital","1ST FLOOR, RADHE AVENUE, MANGAL PAR, BUS STOP, GITA MANDIR ROAD, AHMEDABAD-380022"
"Ahmedabad","SAMVED ORTHOPAEDIC HOSPITAL","3rd floor nr sopan flats on stadium circle to commerce college six roads Navragpura Ahmedabad. "
"Ahmedabad","Trisha Multispeciality Hospital","6-7TH FLOOR, DREAM SQUARE COMPLEX, OPP. RAMDEVPIR TEMPLE, NIRNAY NAGAR UNDERBRIDGE, NAVA VADAJ, AHMEDABAD-380013 MOB.9426517989, PH. NO. 079-27623762"
"Ahmedabad","Dr Agarwal Health Care Ltd","87, 1st floor, Dev Aurum Showroom & Office, Anandnagar Cross Road, Opp. Madhur Hall, 100 ft. Road, Prahladnagar, Ahmedabad 380015"
"Ahmedabad","APOLLO PRIME EYE HOSPITALS","2nd FLOOR, PUSHKAR BUSINESS PARK, NEAR STAR HOSPITAL, D-MART ROAD, BAPUNAGAR, AHMEDABAD-380024 E-mail- apolloprimeeyehospitals@gmail.com Phone.8141337766/9737611203"
"Ahmedabad","SMT. S.M.S MULTISPECIALITY HOSPITAL","NEAR TAPOVAN CIRCLE, VISAT-GANDHINAGAR HIGHWAY, CHANDKHEDA, AHMEDABAD-382424 Ph-7573949404"
"Ahmedabad","Narayana Multispecialty Hospital","Opp. police station chakudiyamahadevrakhiyal cross road AhmadabadMr. Mohsin Mansuri-8980008118 "
