Area,BHK,Bathroom,Furnishing,Parking,Price,Status,Transaction,Type
800,3,2,Semi-Furnished,1,6500000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Semi-Furnished,1,5000000,Ready_to_move,New_Property,Apartment
950,2,2,Furnished,1,15500000,Ready_to_move,Resale,Apartment
600,2,2,Semi-Furnished,1,4200000,Ready_to_move,Resale,Builder_Floor
650,2,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor
1300,4,3,Semi-Furnished,1,15500000,Ready_to_move,New_Property,Builder_Floor
1350,4,3,Semi-Furnished,1,10000000,Ready_to_move,Resale,Builder_Floor
650,2,2,Semi-Furnished,1,4000000,Ready_to_move,New_Property,Apartment
985,3,3,Unfurnished,1,6800000,Almost_ready,New_Property,Builder_Floor
1300,4,4,Semi-Furnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
1100,3,2,Semi-Furnished,1,6200000,Ready_to_move,New_Property,Builder_Floor
870,3,2,Semi-Furnished,1,7700000,Ready_to_move,New_Property,Builder_Floor
630,2,2,Semi-Furnished,1,5500000,Ready_to_move,New_Property,Builder_Floor
660,2,2,Semi-Furnished,1,5000000,Ready_to_move,Resale,Builder_Floor
344.4448,2,2,Semi-Furnished,1,3310000,Ready_to_move,Resale,Builder_Floor
660,2,2,Semi-Furnished,1,4700000,Ready_to_move,New_Property,Builder_Floor
550,2,2,Semi-Furnished,1,4500000,Ready_to_move,New_Property,Builder_Floor
1100,4,3,Semi-Furnished,1,17000000,Ready_to_move,New_Property,Builder_Floor
1150,3,3,Semi-Furnished,1,25000000,Ready_to_move,Resale,Apartment
650,2,2,Semi-Furnished,1,6000000,Ready_to_move,Resale,Builder_Floor
850,2,2,Semi-Furnished,1,11000000,Ready_to_move,Resale,Apartment
900,3,2,Semi-Furnished,5,4500000,Ready_to_move,Resale,Builder_Floor
430.556,1,1,Furnished,2,5300000,Ready_to_move,Resale,Apartment
900,2,2,Semi-Furnished,1,10500000,Ready_to_move,Resale,Apartment
914.9315,2,2,Semi-Furnished,1,12000000,Ready_to_move,Resale,Builder_Floor
1100,3,3,Furnished,1,7000000,Ready_to_move,New_Property,Builder_Floor
800,3,2,Semi-Furnished,1,7000000,Ready_to_move,Resale,Builder_Floor
500,1,1,Semi-Furnished,1,3400000,Ready_to_move,Resale,Apartment
28,2,2,Furnished,1,5000000,Ready_to_move,New_Property,Apartment
2160,4,4,Furnished,1,21000000,Ready_to_move,New_Property,Builder_Floor
1500,1,,Unfurnished,,13500000,Ready_to_move,Resale,Apartment
800,2,2,Unfurnished,1,15000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,1,10500000,Ready_to_move,New_Property,Builder_Floor
1080,3,2,Semi-Furnished,1,22500000,Ready_to_move,New_Property,Builder_Floor
750,2,2,Unfurnished,1,13600000,Ready_to_move,New_Property,Builder_Floor
1450,3,3,Semi-Furnished,2,30000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,1,13500000,Ready_to_move,New_Property,Apartment
810,2,2,Semi-Furnished,1,8910000,Ready_to_move,Resale,Builder_Floor
1350,3,4,Unfurnished,1,25000000,Ready_to_move,Resale,Apartment
1710,3,3,Semi-Furnished,4,26000000,Ready_to_move,New_Property,Builder_Floor
1650,3,3,Semi-Furnished,1,30000000,Ready_to_move,Resale,Builder_Floor
1280,2,2,Furnished,1,12500000,Ready_to_move,Resale,Builder_Floor
1260,3,3,Semi-Furnished,1,21000000,Ready_to_move,Resale,Builder_Floor
1130,2,2,Unfurnished,1,7800000,Ready_to_move,Resale,Builder_Floor
600,2,2,Semi-Furnished,1,11500000,Ready_to_move,New_Property,Builder_Floor
850,2,2,Semi-Furnished,1,11500000,Ready_to_move,Resale,Builder_Floor
1500,3,3,Semi-Furnished,2,26000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,2,13000000,Ready_to_move,New_Property,Builder_Floor
1000,3,3,Semi-Furnished,1,22000000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Semi-Furnished,1,15800000,Ready_to_move,New_Property,Builder_Floor
2925,4,4,Unfurnished,2,57500000,Ready_to_move,New_Property,Builder_Floor
900,2,2,Unfurnished,2,10000000,Ready_to_move,Resale,Builder_Floor
1600,3,3,Unfurnished,2,30000000,Ready_to_move,New_Property,Builder_Floor
1143,3,3,Unfurnished,2,22000000,Ready_to_move,New_Property,Builder_Floor
1150,3,3,Semi-Furnished,2,24000000,Ready_to_move,New_Property,Builder_Floor
1500,3,3,Semi-Furnished,1,31500000,Ready_to_move,Resale,Builder_Floor
850,2,2,Semi-Furnished,1,14600000,Ready_to_move,Resale,Builder_Floor
8000,4,5,Semi-Furnished,1,240000000,Ready_to_move,New_Property,Builder_Floor
890,2,2,Semi-Furnished,1,8300000,Ready_to_move,Resale,Builder_Floor
1100,3,3,Unfurnished,1,22500000,Ready_to_move,New_Property,Builder_Floor
